"","codigo","Pais","Año","vida_nacer","vida_60","salud_nacer","salud_60"
"1","LSO","Lesotho",2019,50.75,13.43,"44.2","9.8"
"2","CAF","Central African Republic",2019,53.1,13.17,"46.4","10.0"
"3","SOM","Somalia",2019,56.47,14.54,"49.7","11.2"
"4","SWZ","Eswatini",2019,57.73,15.1,"50.1","11.0"
"5","MOZ","Mozambique",2019,58.14,15.8,"50.4","11.6"
"6","KIR","Kiribati",2019,59.42,13.69,"52.6","10.3"
"7","TCD","Chad",2019,59.63,16.54,"52.0","12.3"
"8","GNB","Guinea-Bissau",2019,60.22,15.5,"52.6","11.4"
"9","ZWE","Zimbabwe",2019,60.68,15.55,"53.1","11.5"
"10","SLE","Sierra Leone",2019,60.77,16.99,"52.9","12.6"
"11","GIN","Guinea",2019,61.01,16.54,"53.3","12.3"
"12","BWA","Botswana",2019,62.25,16.25,"53.9","11.8"
"13","GNQ","Equatorial Guinea",2019,62.19,17.64,"53.9","12.9"
"14","CMR","Cameroon",2019,62.36,17.09,"54.5","12.8"
"15","COD","Democratic Republic of the Congo",2019,62.35,16.63,"54.1","12.5"
"16","ZMB","Zambia",2019,62.45,16.53,"54.4","12.6"
"17","NGA","Nigeria",2019,62.62,18.24,"54.4","13.5"
"18","BFA","Burkina Faso",2019,62.7,16.82,"54.9","12.6"
"19","MLI","Mali",2019,62.8,17.46,"54.6","12.8"
"20","SSD","South Sudan",2019,62.79,17.79,"53.7","12.7"
"21","CIV","Cote d'Ivoire",2019,62.92,17.08,"54.8","12.7"
"22","FSM","Micronesia (Federated States of)",2019,63.03,14.7,"56.0","11.1"
"23","AGO","Angola",2019,63.06,16.98,"54.8","12.6"
"24","AFG","Afghanistan",2019,63.21,15.21,"53.9","10.8"
"25","NER","Niger",2019,63.29,17.19,"55.5","13.0"
"26","BEN","Benin",2019,63.43,17.4,"55.5","13.0"
"27","BDI","Burundi",2019,63.84,16.47,"55.6","12.7"
"28","ERI","Eritrea",2019,64.08,15.5,"55.7","11.4"
"29","HTI","Haiti",2019,64.05,16.77,"55.8","12.8"
"30","LBR","Liberia",2019,64.08,17.75,"54.9","12.9"
"31","TGO","Togo",2019,64.27,17.03,"56.2","12.8"
"32","NAM","Namibia",2019,64.58,17.24,"56.1","12.7"
"33","COG","Congo",2019,64.74,16.45,"56.2","12.2"
"34","SLB","Solomon Islands",2019,65.25,15.47,"57.8","11.8"
"35","MDG","Madagascar",2019,65.35,16.76,"57.3","12.6"
"36","PNG","Papua New Guinea",2019,65.3,16.48,"57.1","12.3"
"37","ZAF","South Africa",2019,65.25,19.12,"56.2","13.9"
"38","VUT","Vanuatu",2019,65.31,15.68,"57.8","11.9"
"39","GMB","Gambia",2019,65.47,16.85,"57.0","12.6"
"40","MWI","Malawi",2019,65.62,17.24,"57.1","12.8"
"41","PAK","Pakistan",2019,65.61,17.26,"56.9","12.6"
"42","GUY","Guyana",2019,65.69,16.55,"57.2","12.5"
"43","DJI","Djibouti",2019,65.81,17.76,"58.0","13.6"
"44","KEN","Kenya",2019,66.09,17.64,"57.7","13.1"
"45","GHA","Ghana",2019,66.28,17.25,"58.0","12.9"
"46","GAB","Gabon",2019,66.47,17.17,"57.6","12.8"
"47","YEM","Yemen",2019,66.63,17.77,"57.5","13.3"
"48","UGA","Uganda",2019,66.69,17.7,"58.2","13.4"
"49","TZA","United Republic of Tanzania",2019,67.34,18.16,"58.5","13.4"
"50","COM","Comoros",2019,67.39,18.13,"58.9","13.7"
"51","FJI","Fiji",2019,68.01,16.18,"59.6","11.8"
"52","MNG","Mongolia",2019,68.1,16.41,"60.3","12.6"
"53","MRT","Mauritania",2019,68.38,18.98,"59.8","14.3"
"54","LAO","Lao People's Democratic Republic",2019,68.51,17.65,"60.5","13.3"
"55","SEN","Senegal",2019,68.58,18.15,"59.4","13.1"
"56","ETH","Ethiopia",2019,68.7,18.45,"59.9","13.9"
"57","MMR","Myanmar",2019,69.13,18.06,"60.9","13.6"
"58","RWA","Rwanda",2019,69.1,18.02,"60.2","13.6"
"59","SDN","Sudan",2019,69.15,18.64,"59.9","13.6"
"60","TJK","Tajikistan",2019,69.5,16.12,"62.0","12.7"
"61","TLS","Timor-Leste",2019,69.62,17.9,"60.9","13.2"
"62","TKM","Turkmenistan",2019,69.75,18.74,"62.1","14.7"
"63","KHM","Cambodia",2019,70.12,17.74,"61.5","13.2"
"64","PHL","Philippines",2019,70.43,17.77,"62.0","13.4"
"65","STP","Sao Tome and Principe",2019,70.42,17.73,"61.6","13.1"
"66","WSM","Samoa",2019,70.45,17.86,"62.1","13.4"
"67","IND","India",2019,70.79,18.82,"60.3","13.2"
